0000.png,519,366,539,386,0.97613186,No_Entry
0000.png,736,364,757,382,0.64323276,No_Entry
0003.png,508,365,530,385,0.98307693,No_Entry
0003.png,736,363,757,381,0.8618658,No_Entry
0005.png,503,364,525,385,0.9755172,No_Entry
0005.png,738,361,759,381,0.82315785,No_Entry
0007.png,498,363,520,384,0.96180063,No_Entry
0007.png,741,360,761,379,0.9406206,No_Entry
0009.png,490,361,512,383,0.9769519,No_Entry
0009.png,743,358,766,379,0.9142923,No_Entry
0011.png,483,359,506,382,0.9887439,No_Entry
0011.png,746,356,769,378,0.9046056,No_Entry
0013.png,749,353,774,378,0.9840375,No_Entry
0013.png,473,359,499,382,0.973104,No_Entry
0015.png,752,352,778,376,0.9940959,No_Entry
0015.png,466,357,491,381,0.98972803,No_Entry
0017.png,454,356,480,381,0.9946017,No_Entry
0017.png,759,351,784,376,0.98639166,No_Entry
0019.png,438,352,467,380,0.9977697,No_Entry
0019.png,762,348,789,374,0.99672395,No_Entry
0021.png,423,348,452,379,0.9985061,No_Entry
0021.png,768,343,797,372,0.9892861,No_Entry
0023.png,403,344,435,377,0.9983102,No_Entry
0023.png,777,339,806,368,0.9981529,No_Entry
0025.png,784,333,817,366,0.9987877,No_Entry
0025.png,384,341,415,374,0.9984478,No_Entry
0027.png,356,334,392,371,0.9986456,No_Entry
0027.png,796,326,832,363,0.9979361,No_Entry
0029.png,322,328,361,367,0.99923825,No_Entry
0029.png,810,319,849,358,0.9978229,No_Entry
0031.png,279,319,320,363,0.9990798,No_Entry
0031.png,828,308,872,352,0.9984012,No_Entry
0033.png,851,293,898,347,0.9987004,No_Entry
0033.png,220,308,268,356,0.9973531,No_Entry
0035.png,885,273,943,335,0.9982981,No_Entry
0035.png,138,290,194,349,0.9979407,No_Entry
0037.png,25,271,95,339,0.9970794,No_Entry
0037.png,941,244,1011,319,0.9940122,No_Entry
0039.png,1040,189,1138,290,0.9964045,No_Entry
0041.png,1247,72,1360,227,0.94897246,No_Entry
0049.png,391,368,410,387,0.60818285,No_Entry
0051.png,389,368,407,386,0.7741978,No_Entry
0053.png,386,368,403,385,0.82035255,No_Entry
0055.png,385,367,402,385,0.8040008,No_Entry
0057.png,387,366,405,383,0.9304879,No_Entry
0059.png,387,365,406,385,0.98720956,No_Entry
0061.png,392,364,413,385,0.9896758,No_Entry
0063.png,396,366,414,384,0.99554104,No_Entry
0065.png,397,367,416,384,0.98406523,No_Entry
0067.png,401,367,418,385,0.9849289,No_Entry
0069.png,402,364,422,383,0.9668102,No_Entry
0071.png,404,366,424,386,0.987926,No_Entry
0073.png,405,362,428,384,0.984294,No_Entry
0075.png,403,363,425,384,0.95646363,No_Entry
0077.png,401,361,423,381,0.9829828,No_Entry
0079.png,398,360,422,384,0.99350846,No_Entry
0081.png,391,359,418,383,0.9900385,No_Entry
0081.png,625,361,644,378,0.6552789,No_Entry
0083.png,389,358,415,383,0.9969856,No_Entry
0083.png,637,360,654,377,0.51923156,No_Entry
0085.png,383,356,410,381,0.99744236,No_Entry
0085.png,646,357,664,375,0.54254776,No_Entry
0087.png,371,349,401,382,0.9766848,No_Entry
0087.png,654,353,673,373,0.914391,No_Entry
0089.png,361,350,393,379,0.9990534,No_Entry
0089.png,664,351,685,371,0.65797967,No_Entry
0091.png,346,346,379,378,0.9989611,No_Entry
0091.png,673,347,696,370,0.9501963,No_Entry
0093.png,328,343,364,378,0.9986451,No_Entry
0093.png,685,342,709,367,0.9860702,No_Entry
0095.png,305,339,345,376,0.9986338,No_Entry
0095.png,699,338,725,363,0.9953029,No_Entry
0097.png,713,331,739,359,0.9990662,No_Entry
0097.png,273,332,316,371,0.99839157,No_Entry
0099.png,230,324,283,370,0.9985078,No_Entry
0099.png,729,324,758,356,0.99757904,No_Entry
0101.png,748,314,781,349,0.9992811,No_Entry
0101.png,174,312,236,366,0.997607,No_Entry
0103.png,771,300,808,341,0.9988049,No_Entry
0103.png,91,302,166,360,0.9983681,No_Entry
0105.png,804,281,846,329,0.9992095,No_Entry
0105.png,4,280,68,352,0.9970696,No_Entry
0107.png,847,256,897,313,0.9987413,No_Entry
0109.png,911,212,975,286,0.9969043,No_Entry
0111.png,1035,130,1121,235,0.9855495,No_Entry
0123.png,665,379,679,392,0.6784804,No_Entry
0127.png,688,376,705,394,0.738726,No_Entry
0129.png,704,375,721,392,0.72776663,No_Entry
0131.png,718,376,734,391,0.41566506,No_Entry
0133.png,730,374,746,390,0.89231473,No_Entry
0135.png,737,373,756,390,0.924999,No_Entry
0137.png,748,371,767,390,0.5246427,No_Entry
0139.png,758,369,776,388,0.9231477,No_Entry
0141.png,767,366,788,387,0.9035799,No_Entry
0143.png,777,366,798,386,0.9550861,No_Entry
0145.png,784,362,809,386,0.98424846,No_Entry
0145.png,544,382,562,400,0.6334438,Stop
0147.png,795,360,821,384,0.9793553,No_Entry
0149.png,801,357,830,382,0.98329586,No_Entry
0149.png,517,377,539,397,0.5644487,No_Entry
0151.png,807,353,840,380,0.9943183,No_Entry
0151.png,494,375,516,396,0.6551616,No_Entry
0153.png,817,349,852,380,0.99812084,No_Entry
0153.png,469,374,493,397,0.9075137,No_Entry
0155.png,831,342,872,378,0.9977329,No_Entry
0155.png,440,372,467,398,0.97626275,No_Entry
0157.png,853,336,898,376,0.99851066,No_Entry
0157.png,407,371,437,397,0.986631,No_Entry
0159.png,881,324,939,371,0.9982393,No_Entry
0159.png,365,365,397,395,0.99779654,No_Entry
0161.png,921,306,997,365,0.9986745,No_Entry
0161.png,300,358,337,392,0.9972276,No_Entry
0163.png,206,345,254,390,0.9989518,No_Entry
0163.png,980,284,1090,352,0.98910975,No_Entry
0165.png,48,332,119,382,0.994712,No_Entry
0165.png,1096,236,1271,327,0.98755324,No_Entry
0169.png,959,391,976,408,0.64436024,No_Entry
0171.png,948,391,967,409,0.85936105,No_Entry
0173.png,940,392,958,409,0.921282,No_Entry
0175.png,931,393,949,410,0.76719475,No_Entry
0177.png,924,394,940,410,0.45981255,Stop
0179.png,916,395,934,410,0.5345705,No_Entry
0181.png,908,394,924,411,0.81217027,No_Entry
0183.png,901,394,921,412,0.912176,No_Entry
0185.png,895,397,914,412,0.77532333,No_Entry
0187.png,889,395,908,413,0.6602281,No_Entry
0189.png,883,396,903,414,0.86814696,No_Entry
0191.png,879,396,899,414,0.81315005,No_Entry
0193.png,875,397,893,415,0.45078036,No_Entry
0195.png,869,396,890,415,0.9501237,No_Entry
0195.png,697,400,712,416,0.6444116,No_Entry
0197.png,866,395,888,414,0.9855903,No_Entry
0197.png,684,397,702,414,0.550941,No_Entry
0199.png,863,392,884,413,0.9773882,No_Entry
0199.png,671,395,689,413,0.8774019,No_Entry
0201.png,858,389,882,410,0.9707646,No_Entry
0201.png,658,391,677,410,0.8806803,No_Entry
0203.png,858,387,882,410,0.9887299,No_Entry
0203.png,646,389,663,406,0.77832925,No_Entry
0205.png,856,384,879,407,0.99588156,No_Entry
0205.png,630,385,648,404,0.8787049,No_Entry
0207.png,854,381,881,406,0.99728394,No_Entry
0207.png,613,382,634,402,0.9661726,No_Entry
0209.png,853,378,881,404,0.99770015,No_Entry
0209.png,596,378,617,399,0.90408134,No_Entry
0211.png,853,373,882,402,0.99863404,No_Entry
0211.png,573,374,597,396,0.8930734,No_Entry
0213.png,857,368,889,398,0.9985807,No_Entry
0213.png,552,369,576,395,0.94854677,No_Entry
0215.png,861,363,896,397,0.99926406,No_Entry
0215.png,524,364,549,391,0.99150765,No_Entry
0217.png,869,356,906,394,0.9981786,No_Entry
0217.png,493,358,521,387,0.9956703,No_Entry
0219.png,878,348,922,390,0.9983359,No_Entry
0219.png,455,349,485,381,0.9982993,No_Entry
0221.png,894,338,944,385,0.99831283,No_Entry
0221.png,406,340,441,377,0.99641657,No_Entry
0223.png,344,326,381,367,0.9993987,No_Entry
0223.png,921,322,980,382,0.99771166,No_Entry
0225.png,253,308,297,356,0.9981499,No_Entry
0225.png,958,304,1032,373,0.9973085,No_Entry
0227.png,114,278,170,342,0.9987853,No_Entry
0227.png,1024,270,1131,360,0.989813,No_Entry
0229.png,1160,209,1317,340,0.9925706,No_Entry
0273.png,602,379,620,395,0.44087723,No_Entry
0275.png,584,377,603,394,0.65254253,No_Entry
0277.png,567,375,585,393,0.84237504,No_Entry
0279.png,544,374,563,392,0.9553923,No_Entry
0281.png,521,374,542,393,0.98236173,No_Entry
0283.png,499,374,520,393,0.98778266,No_Entry
0285.png,475,373,497,393,0.9801634,No_Entry
0285.png,698,376,712,392,0.7709001,No_Entry
0287.png,455,371,479,394,0.99374074,No_Entry
0289.png,437,370,463,394,0.9946445,No_Entry
0289.png,696,375,713,391,0.9278398,No_Entry
0291.png,419,369,447,395,0.993572,No_Entry
0291.png,702,374,720,392,0.8242934,No_Entry
0293.png,399,367,430,395,0.99361295,No_Entry
0293.png,707,373,726,392,0.9321833,No_Entry
